Item Code,Item Name,Class,Size,Opening Balance (DAY_01_OPEN),Month
SCMBR0023263,Tuborg Strong Beer. .,F,500 ML (CAN),0,2025-12
SCMBR0023264,Tuborg Strong Beer. .,F,650 ML,0,2025-12
SCMBR0023265,Tuborg Classic Black Gold Beer .,F,330 ML,0,2025-12
SCMBR0023266,Tuborg Classic Black Gold Beer .,F,500 ML (CAN),0,2025-12
SCMBR0023267,Tuborg Classic Black Gold Beer .,F,650 ML,0,2025-12
SCMBR0023279,Tuborg Strong Beer. .,F,330 ML (CAN),0,2025-12
SCMBR0024703,Original Bira 91 Strong Beer(s) .,F,500 ML (CAN),0,2025-12
SCMBR0024706,Original BIRA 91 Boom Super Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0024809,Knock Out High Punch Strong .,F,1000 ML,0,2025-12
SCMBR0024810,Knock Out High Punch Strong .,F,1500 ML (9),0,2025-12
SCMBR0024908,KANGARO PREMIUM LAGER BEER .,M,500 ML (CAN),0,2025-12
SCMBR0024909,Tuborg Strong Beer. .,F,500 ML,0,2025-12
SCMBR0025164,Original Bira 91 White Beer(s) .,F,330 ML(12),0,2025-12
SCMBR0025455,Budweiser Magnum King of Beer .,F,330 ML,0,2025-12
SCMBR0025456,Budweiser Magnum King of Beer .,F,500 ML (CAN),0,2025-12
SCMBR0025457,Budweiser Magnum King of Beer .,F,650 ML,0,2025-12
SCMBR0026564,Original Bira 91 White Beer(s) .,F,650 ML,0,2025-12
SCMBR0026869,Corona Extra Premium Beer .,M,330 ML,0,2025-12
SCMBR0027087,Budweiser Magnum Super Premium Beer .,F,330 ML,0,2025-12
SCMBR0027088,Budweiser Magnum Super Premium Beer .,F,500 ML (CAN),0,2025-12
SCMBR0027089,Budweiser Magnum Super Premium Beer .,F,650 ML,0,2025-12
SCMBR0027104,Budweiser Premium King of Beer .,M,250 ML (CAN),0,2025-12
SCMBR0027591,Bira 91 Gold Wheat Strong Beer .,F,330 ML,0,2025-12
SCMBR0027592,Bira 91 Gold Wheat Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0027593,Bira 91 Gold Wheat Strong Beer .,F,650 ML,0,2025-12
SCMBR0027594,Bira 91 Gold Wheat Strong Beer .,F,20 Ltr,0,2025-12
SCMBR0027595,Bira 91 Gold Wheat Strong Beer .,F,30 Ltr,0,2025-12
SCMBR0027924,Budweiser Magnum Strong Beer .,F,250 ML(24),0,2025-12
SCMBR0027930,Kingfisher Premium Lager Beer .,M,20 Ltr,0,2025-12
SCMBR0027931,Kingfisher Premium Lager Beer .,M,30 Ltr,0,2025-12
SCMBR0027932,Kingfisher Premium Lager Beer .,M,50 Ltr,0,2025-12
SCMBR0027933,Kingfisher Ultra Lager Beer .,M,20 Ltr,0,2025-12
SCMBR0027934,Kingfisher Ultra Lager Beer .,M,30 Ltr,0,2025-12
SCMBR0027935,Kingfisher Ultra Lager Beer .,M,50 Ltr,0,2025-12
SCMBR0027936,London Pilsner Premium Beer .,M,500 ML (CAN),0,2025-12
SCMBR0027986,Bira 91 Gold Wheat Strong Beer .,F,330 ML(12),0,2025-12
SCMBR0027987,Bira 91 Gold Wheat Strong Beer .,F,500 ML (12),0,2025-12
SCMBR0027990,Original Bira 91 White Beer(s) .,F,500 ML (12),0,2025-12
SCMBR0028502,Beck?s Ice Superior Strength Classic .,F,330 ML,0,2025-12
SCMBR0028503,Beck?s Ice Superior Strength Classic .,F,500 ML (CAN),0,2025-12
SCMBR0028504,Beck?s Ice Superior Strength Classic .,F,650 ML,0,2025-12
SCMBR0028505,Beck?s Ice Superior Strength Classic .,F,15 Ltr,0,2025-12
SCMBR0028506,Beck?s Ice Superior Strength Classic .,F,30 Ltr,0,2025-12
SCMBR0028507,Beck?s Ice Superior Strength Classic .,F,50 Ltr,0,2025-12
SCMBR0029429,Kingfisher Ultra Max Premium Strong Beer .,F,330 ML,0,2025-12
SCMBR0029430,Kingfisher Ultra Max Premium Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0029431,Kingfisher Ultra Max Premium Strong Beer .,F,650 ML,0,2025-12
SCMBR0029582,Kingfisher Ultra Max Premium Strong Beer .,F,330 ML(12),0,2025-12
SCMBR0029606,Beck\'s Ice Superior Strength Superior Classic .,F,330 ML,0,2025-12
SCMBR0029607,Beck\'s Ice Superior Strength Superior Classic .,F,500 ML (CAN),0,2025-12
SCMBR0029608,Beck\'s Ice Superior Strength Superior Classic .,F,650 ML,0,2025-12
SCMBR0030089,Budweiser King of Beer .,M,250 ML (CAN),0,2025-12
SCMBR0030209,Corona Extra Premium Beer .,M,500 ML (CAN),0,2025-12
SCMBR0031282,Tuborg Strong 4G 1880 Beer .,F,500 ML (CAN),0,2025-12
SCMBR0031588,Corona Extra Beer .,M,500 ML (CAN),0,2025-12
SCMBR0031589,Corona Extra Beer .,M,330 ML,0,2025-12
SCMBR0031590,KJ STRONG BEER .,F,650 ML,0,2025-12
SCMBR0031591,KJ STRONG BEER .,F,330 ML,0,2025-12
SCMBR0031823,Bira 91 Superfresh Natural White Beer .,F,20 Ltr,0,2025-12
SCMBR0031824,Bira 91 Superfresh Natural White Beer .,F,330 ML,0,2025-12
SCMBR0031825,Bira 91 Superfresh Natural White Beer .,F,500 ML (CAN),0,2025-12
SCMBR0031826,Bira 91 Superfresh Natural White Beer .,F,650 ML,0,2025-12
SCMBR0032030,Tuborg White Premium Wheat Beer .,F,330 ML,0,2025-12
SCMBR0032031,Tuborg White Premium Wheat Beer .,F,500 ML (CAN),0,2025-12
SCMBR0032032,Tuborg White Premium Wheat Beer .,F,650 ML,0,2025-12
SCMBR0032057,HEINEKEN SILVER 100% MALT LAGER BEER .,M,650 ML,0,2025-12
SCMBR0032058,HEINEKEN SILVER 100% MALT LAGER BEER .,M,330 ML,0,2025-12
SCMBR0032059,HEINEKEN SILVER 100% MALT LAGER BEER .,M,500 ML,0,2025-12
SCMBR0032060,HEINEKEN SILVER 100% MALT LAGER BEER .,M,500 ML (CAN),0,2025-12
SCMBR0032061,HEINEKEN SILVER 100% MALT LAGER BEER .,M,330 ML(12),0,2025-12
SCMBR0032868,Carlsberg Ian Rush Smooth Beer .,M,500 ML (CAN),0,2025-12
SCMBR0032869,Carlsberg Robbie Fowler Elephant Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0033491,Tuborg Ice Draft Beer .,M,650 ML,0,2025-12
SCMBR0033492,Tuborg Ice Draft Beer .,M,330 ML,0,2025-12
SCMBR0033493,Tuborg Ice Draft Beer .,M,500 ML (CAN),0,2025-12
SCMBR0033497,Tuborg Green Beer Limited Edition .,M,650 ML,0,2025-12
SCMBR0033498,Tuborg Green Beer Limited Edition .,M,330 ML,0,2025-12
SCMBR0033499,Tuborg Green Beer Limited Edition .,M,500 ML (CAN),0,2025-12
SCMBR0033501,HEINEKEN SILVER 100% MALT LAGER BEER .,M,330 ML (CAN),0,2025-12
SCMBR0033827,KJ STRONG BEER .,F,500 ML (CAN),0,2025-12
SCMBR0034712,Carlsberg Premium Elephant Danish Pilsner Beer .,F,330 ML,0,2025-12
SCMBR0034791,Carlsberg Premium Elephant Danish Pilsner Beer .,F,500 ML (CAN),0,2025-12
SCMBR0036770,HEINEKEN SILVER 100% MALT LAGER BEER .,M,20 Ltr,0,2025-12
SCMBR0037576,Bira 91 Superfresh Natural White Beer .,F,30 Ltr,0,2025-12
SCMBR0037749,London Pilsner Premium Strong Beer .,F,250 ML(24),0,2025-12
SCMBR0038450,Tuborg Classic Premium Scotch Beer .,F,650 ML,0,2025-12
SCMBR0038451,Tuborg Classic Premium Scotch Beer .,F,330 ML,0,2025-12
SCMBR0038452,Tuborg Classic Premium Scotch Beer .,F,500 ML (CAN),0,2025-12
SCMBR0038488,Kingfisher Ultra Max Premium Strong Beer .,F,20 Ltr,0,2025-12
SCMBR0038689,Knock Out High Punch Strong .,F,330 ML (CAN),0,2025-12
SCMBR0039553,AMSTEL GRANDE INTERNATIONAL PREMIUM STRONG BEER .,F,650 ML,0,2025-12
SCMBR0039554,AMSTEL GRANDE INTERNATIONAL PREMIUM STRONG BEER .,F,330 ML,0,2025-12
SCMBR0039555,AMSTEL GRANDE INTERNATIONAL PREMIUM STRONG BEER .,F,500 ML (CAN),0,2025-12
SCMBR0041385,AMSTEL GRANDE INTERNATIONAL PREMIUM STRONG BEER .,F,330 ML(12),0,2025-12
SCMIT0010015,VLADIWAR APPLE VODKA .,K,180 ML,0,2025-12
SCMIT0010016,VLADIWAR ORANGE VODKA .,K,180 ML,0,2025-12
SCMIT0018490,Camino Real .,W,750 ML,0,2025-12
SCMIT0018498,Stella Artois Beer .,M,30 Ltr,0,2025-12
SCMIT0018638,VLADIWAR APPLE VODKA .,K,60 ML,0,2025-12
SCMIT0018639,VLADIWAR ORANGE VODKA .,K,60 ML,0,2025-12
SCMIT0018640,VLADIWAR ORANGE VODKA .,K,750 ML,0,2025-12
SCMIT0018715,JOHNNIE WALKER Platinum 18 YO .,W,750 ML(6),0,2025-12
SCMIT0018788,Grants Blended Scotch Whisky .,W,750 ML,0,2025-12
SCMIT0018804,JOHNNIE WALKER Platinum 18 YO .,W,750 ML,0,2025-12
SCMIT0018860,BALLANTINES- FINEST SCOTCH WHISKY .,W,50 ML(120),0,2025-12
SCMIT0018861,BALLANTINES- FINEST SCOTCH WHISKY .,W,200 ML (24),0,2025-12
SCMIT0018862,BALLANTINES- FINEST SCOTCH WHISKY .,W,750 ML,0,2025-12
SCMIT0018946,BALLANTIN\'S WHISKY .,W,50 ML,0,2025-12
SCMIT0018947,BALLANTIN\'S WHISKY .,W,200 ML (24),0,2025-12
SCMIT0018948,BALLANTIN\'S WHISKY .,W,750 ML,0,2025-12
SCMIT0018950,CHIVAS REGAL 12 YO SCOTCH WHISKY .,W,50 ML,0,2025-12
SCMIT0018951,CHIVAS REGAL 12 YO SCOTCH WHISKY .,W,200 ML (24),0,2025-12
SCMIT0018955,THE GLENLEVIT SINGLE MALT WHISKY .,W,50 ML,0,2025-12
SCMIT0018956,CORONA BEER .,M,355 ML,0,2025-12
SCMIT0018958,CHIVAS REGAL 12 YO SCOTCH WHISKY .,W,750 ML,0,2025-12
SCMIT0018959,ABSOLUT INDIA VODKA .,W,750 ML,0,2025-12
SCMIT0018960,THE GLENLEVIT SINGLE MALT WHISKY .,W,750 ML,1,2025-12
SCMIT0019032,J.W. Double Black Label .,W,750 ML(6),0,2025-12
SCMIT0019033,J.W. Black Label .,W,50 ML (192),0,2025-12
SCMIT0019034,J.W. Black Label .,W,200 ML (24),0,2025-12
SCMIT0019035,J.W. Black Label .,W,750 ML,0,2025-12
SCMIT0019036,J.W. Black Label .,W,2000 ML(6),0,2025-12
SCMIT0019037,J.W. Red Label .,W,50 ML (192),0,2025-12
SCMIT0019038,J.W. Red Label .,W,200 ML (24),0,2025-12
SCMIT0019039,J.W. Red Label .,W,375 ML,0,2025-12
SCMIT0019040,J.W. Red Label .,W,750 ML,0,2025-12
SCMIT0019041,J.W. Red Label .,W,2000 ML(6),0,2025-12
SCMIT0019042,Gold Reserve .,V,750 ML(6),0,2025-12
SCMIT0019043,J. W. Blue Label .,W,750 ML(6),0,2025-12
SCMIT0019045,Taliskar 10 Yrs .,W,750 ML(6),0,2025-12
SCMIT0019046,Gordon Gin .,G,750 ML,0,2025-12
SCMIT0019047,Baileys Orig IC .,W,50 ML(80),0,2025-12
SCMIT0019049,Singleton Malt 12 Yo .,W,700 ML(6),0,2025-12
SCMIT0019050,Ketal One .,W,750 ML,1,2025-12
SCMIT0019051,JW Platinum 18 .,W,750 ML(6),0,2025-12
SCMIT0019052,Cardhu .,W,1000 ML(12),0,2025-12
SCMIT0019054,Gordon Gin .,G,50 ML (192),0,2025-12
SCMIT0019055,Baileys Orig IC .,W,750 ML,0,2025-12
SCMIT0019057,CHIVAS REGAL SCOTCH WHISKY 12 YO .,W,750 ML,1,2025-12
SCMIT0019059,THE GLENLEVIT SINGLE MALT WHISKY WHY 12 .,W,750 ML,0,2025-12
SCMIT0019060,ABSOLUTE VODKA .,W,750 ML,0,2025-12
SCMIT0019472,Stella Artois Beer .,M,330 ML,0,2025-12
SCMIT0019505,BEEFEATER GIN .,G,50 ML(120),0,2025-12
SCMIT0019506,BEEFEATER GIN .,G,750 ML,0,2025-12
SCMIT0019512,JAMESON IRISH WHISKY .,W,750 ML,1,2025-12
